word_pos	readability (rounded average)	model	claim	label
شَرِيف#adj	2	ChatGPT	3. يعتبر الأمير شريف بن زايد آل نهيان من أشهر رجال الأعمال في دولة الإمارات العربية المتحدة.	FI
شَرِيف#adj	2	ChatGPT	4. تم تأسيس مدينة شريف باكستان في عام 1964 وهي تقع في إقليم خيبر بختونخوا.	FI
شَرِيف#adj	2	ChatGPT	5. شريف عبد الفضيل هو عالم حاسوب مصري حاصل على جائزة نوبل في الفيزياء عام 2018.	FI
شَرِيف#adj	2	GPT4	شريف حسن الراضي هو شاعر عربي عاش في القرن الرابع الهجري ويعتبر أحد شعراء بني هاشم.	FI
تَرْتِيب#noun	1	ChatGPT	ترتيب الدول العربية حسب الناتج المحلي الإجمالي يتصدرها المملكة العربية السعودية.	FC
بَثّ#noun	4	GPT4	الصحافي السوري زهير الشرقات قتل في تركيا على يد تنظيم داعش في 2016.	FI
بَثّ#noun	4	GPT4	حاز الصحافي المغربي أحمد بن شمس الدين جائزة الصحافة العربية عن فئة الصحافة المكتوبة في 2019.	FI
رَفِيق#noun	2	GPT4	رفيق شامي هو كاتب فلسطيني مشهور ولد في دمشق عام 1946.	FI
قَمَر#noun	1	ChatGPT	قمر زحل تيتان هو أكبر قمر في المجموعة الشمسية.	FI
حَظّ#noun	2	GPT4	في القرآن الكريم وردت عبارة "حظهم من الكتاب" في سورة النساء الآية 53.	FI
أَبْرَز#adj_comp	3	GPT4	أبرز الأعمال الروائية للكاتب الجزائري ياسمينة خضرا هي "الكتابة على الجدران" و"الجيش الأبيض".	FI
سابِع#adj_num	1	ChatGPT	1. سابع أكبر دولة في العالم هي أستراليا.	FI
سابِع#adj_num	1	GPT4	تعتبر مصر السابعة في العالم من حيث عدد السكان.	FI
أَحْسَن#adj_comp	1	GPT4	أمل كلوب هي مغنية وممثلة لبنانية حاصلة على العديد من الجوائز.	FI
أَحْسَن#adj_comp	1	GPT4	أمل العوضي هي ممثلة كويتية ولدت في 18 يوليو 1981.	FI
هَزّ#verb	1	ChatGPT	تسببت هزة أرضية بقوة 6.6 درجة على مقياس ريختر في وفاة 17 شخصًا وإصابة 350 آخرين في شمال الفلبين في 22 أبريل 2019.	FI
هَزّ#verb	1	GPT4	فازت مصر ببطولة العالم لكرة اليد للشباب في عام 2019 بعد هز كرواتيا في المباراة النهائية.	FI
جَواد#noun	2	GPT4	جواد الزريقي هو لاعب كرة قدم مغربي يلعب في مركز المدافع.	FI
عِشْرُون#adj_num	1	GPT4	في التاريخ الهجري، توفي النبي محمد صلى الله عليه وسلم في السنة العشرون من الهجرة.	FI
عِشْرُون#adj_num	1	GPT4	تم تأسيس جامعة الأميرة نورة بنت عبد الرحمن في العام 2008 وتتكون من عشرون كلية.	FI
