claim_id	word_pos	readability	model	claim	label
213	إِنَّ_verb_pseudo	3	ChatGPT	إن القاهرة هي عاصمة جمهورية مصر العربية.	FC
5829	سَعادَة_noun	1	GPT4	تأثير السعادة على الصحة العقلية والجسدية موضوع للأبحاث العلمية المتعددة.	FC
3022	كَيْفَ_adv_interrog	2	ChatGPT	كيف يتم تحديد سعر النفط في الأسواق العالمية؟	NF
782	سَمِع_verb	1	ChatGPT	للإنسان القدرة على سمع الأصوات المختلفة.	FC
5760	تَنْمِيَة_noun	3	GPT4	تلعب التنمية الزراعية دوراً أساسياً في توفير الغذاء وتحسين مستوى المعيشة للسكان.	FC
3393	جُنْدِيّ_noun	1	ChatGPT	يتم تجنيد الجنود في الجيش بعد بلوغهم سن الخدمة الإلزامية.	FC
2073	أَخ_noun	1	ChatGPT	يمكن أن يكون للشخص العديد من الإخوة والأخوات، وذلك يعتمد على عدد أفراد الأسرة.	FC
7940	بَكَى_verb	1	GPT4	بكى الأمير عبد القادر الجزائري عندما استسلم للجنرال دوك دو أومال في معركة السمارة.	NF
7062	تابَع_verb	1	ChatGPT	المدرسة تابعة لوزارة التربية والتعليم.	NF
6742	جُزْء_noun	1	ChatGPT	جزء من العملية الهضمية يحدث في المعدة.	FC
1633	نَعَم_interj	1	ChatGPT	نعم الجمل هي نوع من النعم يستخدم في الصحراء لنقل البضائع والأشخاص.	FC
3993	شَكّ_noun	3	ChatGPT	تم تأجيل القرار بسبب وجود شكوك في الأدلة.	NF
4344	أَظْهَر_verb	3	ChatGPT	أظهرت الدراسات أن الأشخاص الذين يتناولون الفواكه والخضروات بانتظام يعيشون حياة أطول.	FC
769	ٱِسْم_noun	1	GPT4	يعود اسم جبل إفرست إلى الجغرافي البريطاني جورج إفرست.	FC
2824	تَرَك_verb	1	ChatGPT	ترك الرئيس الأمريكي الأسبق بيل كلينتون منصبه في عام 2001م بعد انتهاء فترة رئاسته.	FC
2640	حالَة_noun	2	GPT4	تعد حالة سوء التغذية مشكلة صحية خطيرة تؤثر على ملايين الأطفال حول العالم.	FC
1145	ٱِسْتَطاع_verb	1	ChatGPT	استطاعت الشركة الأمريكية أبل تحقيق أرباح قياسية خلال الربع الأول من عام 2021.	FC
9564	صارُوخ_noun	1	ChatGPT	تم تطوير صاروخ "أريان 5" من قبل الوكالة الفضائية الأوروبية ويستخدم لنقل الأقمار الصناعية والمركبات الفضائية.	FI
5874	غَرْب_noun	3	ChatGPT	تقع الجزر الكناري في المحيط الأطلسي قبالة الساحل الغربي لأفريقيا.	FI
7822	جُرْح_noun	1	ChatGPT	تعرض الجندي لجرح خطير في الرأس خلال المعارك الدائرة في المنطقة.	NF
9426	سَرِير_noun	1	GPT4	سرير الملك توت عنخ آمون المصنوع من الذهب الخالص وجد في قبره بواسطة عالم المصريات هوارد كارتر في عام 1922.	FI
1572	هَدَف_noun	1	ChatGPT	يجب أن تكون الأهداف قابلة للقياس والتحقق لتحديد ما إذا كانت قد تم تحقيقها أم لا.	NF
9594	ٱِتِّجاه_noun	2	ChatGPT	الاتجاه الغربي هو الاتجاه الذي يشير إلى الغرب.	FC
3452	أَوْضَح_verb	3	ChatGPT	أوضح الخبراء أن الأكل الصحي يساعد على الوقاية من الأمراض المزمنة.	FI
